id,nom_question,reponse,date_application,categorie,description
ec149fb6-b02d-4c68-844d-c6db2bf2661c,Couverts en bois,true,0987-12-04,OBJET,Couverts en bois
77ef799b-9ae0-4485-8778-fff40f77c3ed,Gobelet en bioplastique à usage unique,false,2025-01-07,OBJET,Gobelet en bioplastique à usage unique
e0f09281-cef2-4749-8f29-67960a5fb416,Brique de jus avec une lamination intérieure en aluminium),true,0987-12-04,OBJET,Brique de jus avec une lamination intérieure en aluminium)
19d01454-7025-4198-ac26-eceb698594b3,Fruits et légumes non transformés emballé dans du plastique sous vide,false,2027-01-01,OBJET,Fruits et légumes non transformés emballé dans du plastique sous vide
cc3c0ecf-dca0-4d1d-9f3f-dc736a7d9bfc,Boîte de crème glacée en plastique,true,0987-12-04,OBJET,Boîte de crème glacée en plastique
70d2edd4-545d-45ca-907f-08ad6126d609,Boîte de crème glacée en carton avec lamination intérieure en plastique,true,0987-12-04,OBJET,Boîte de crème glacée en carton avec lamination intérieure en plastique
36219586-c29f-481b-9dcf-305e8fa50310,"Barquette pour pièce de boucherie, charcuterie, fromagerie, poissonnerie",true,0987-12-04,OBJET,"Barquette pour pièce de boucherie, charcuterie, fromagerie, poissonnerie"
890be11a-453b-4730-8c4d-cba576cb032b,Gobelet en plastique compostable à usage unique,false,2025-01-07,OBJET,Gobelet en plastique compostable à usage unique
e01f43f1-a528-4fdb-9063-67a63a0204e1,Barquette en carton,true,0987-12-04,OBJET,Barquette en carton
d3e50174-29d3-4009-961f-433c840fc87e,Paille en papier,true,0987-12-04,OBJET,Paille en papier
c9491a4d-d71d-40d7-bb4d-5418ef79f5d3,Barquette plastique pour fruits ou légumes découpés,false,2027-01-01,OBJET,Barquette plastique pour fruits ou légumes découpés
94c9b74b-859a-469d-ba62-d16d87df6781,Barquette en carton avec lamination intérieure en plastique,false,2029-01-07,OBJET,Barquette en carton avec lamination intérieure en plastique
3c488837-4b58-4d36-9a34-349e5afc5c61,Barquette en aluminium à usage unique,false,2026-01-07,OBJET,Barquette en aluminium à usage unique
6b37381f-b8b6-4b8b-9bdf-92c0cb9f6e7b,Gobelet en bagasse,true,0987-12-04,OBJET,Gobelet en bagasse
